lat_bin,lon_bin,time_bin,count,total_magnitude,max_magnitude
20,345,31,1,6.30,6.30
24,0,13,1,5.40,5.40
24,0,57,2,10.50,5.80
24,0,88,1,5.80,5.80
24,0,89,1,4.50,4.50
24,1,37,1,4.70,4.70
24,4,78,1,4.60,4.60
24,6,93,1,4.60,4.60
24,6,97,1,4.60,4.60
24,108,27,1,5.70,5.70
24,357,40,1,5.40,5.40
24,358,58,1,5.60,5.60
24,359,58,2,10.40,5.50
24,359,64,1,4.60,4.60
24,359,66,1,4.50,4.50
24,359,88,1,4.60,4.60
24,359,101,1,4.50,4.50
25,1,62,1,5.00,5.00
25,7,94,1,4.40,4.40
25,9,118,1,4.30,4.30
25,11,102,1,4.40,4.40
25,12,54,2,9.90,5.60
25,354,2,1,4.60,4.60
25,354,59,1,4.60,4.60
25,354,109,1,4.80,4.80
25,355,11,1,4.70,4.70
25,355,32,1,5.10,5.10
25,355,45,1,4.40,4.40
25,355,91,1,4.50,4.50
25,355,103,1,4.60,4.60
25,356,31,1,4.20,4.20
25,356,40,1,4.40,4.40
25,356,51,1,4.90,4.90
25,356,86,1,4.60,4.60
25,357,27,1,4.60,4.60
25,357,31,1,4.60,4.60
25,357,100,1,4.50,4.50
25,358,97,1,4.50,4.50
25,358,98,1,4.50,4.50
25,358,119,1,4.40,4.40
26,12,54,1,4.40,4.40
26,12,92,1,4.60,4.60
26,13,62,1,4.50,4.50
26,13,87,2,10.20,5.30
26,14,103,1,5.00,5.00
26,16,56,1,5.60,5.60
26,17,37,1,5.20,5.20
26,19,28,1,5.40,5.40
26,116,5,1,5.00,5.00
26,346,7,1,4.90,4.90
26,346,106,1,4.70,4.70
26,349,101,1,4.40,4.40
26,350,29,1,5.60,5.60
26,350,71,1,4.30,4.30
26,351,16,1,4.40,4.40
26,351,58,3,13.60,4.60
26,351,101,1,4.40,4.40
26,352,13,1,4.50,4.50
26,352,82,1,5.70,5.70
26,354,70,1,4.10,4.10
26,354,74,1,4.60,4.60
26,356,38,1,4.20,4.20
27,15,103,1,4.50,4.50
27,16,59,1,5.00,5.00
27,18,3,2,11.20,5.70
27,18,4,2,9.00,4.60
27,18,20,1,4.60,4.60
27,18,118,1,5.10,5.10
27,19,4,1,4.50,4.50
27,19,91,1,4.60,4.60
27,20,7,1,4.70,4.70
27,21,30,1,4.70,4.70
27,21,31,1,4.50,4.50
27,21,46,1,4.60,4.60
27,21,47,2,10.80,5.40
27,21,61,1,4.30,4.30
27,21,66,1,4.40,4.40
27,21,82,1,4.40,4.40
27,21,90,1,4.50,4.50
27,21,107,1,4.50,4.50
27,21,109,1,5.40,5.40
27,22,36,1,4.40,4.40
27,22,48,1,4.30,4.30
27,22,87,1,4.50,4.50
27,22,113,1,4.60,4.60
27,24,83,1,5.70,5.70
27,117,4,1,4.50,4.50
27,118,31,1,5.00,5.00
27,121,0,1,4.50,4.50
27,121,2,2,9.10,4.60
27,121,3,2,9.10,4.90
27,121,4,3,14.60,5.60
27,121,5,6,28.70,5.10
27,121,6,2,9.20,4.90
27,121,7,2,9.10,4.60
27,121,9,3,13.90,5.00
27,121,11,1,4.60,4.60
27,121,16,1,4.90,4.90
27,122,6,1,4.30,4.30
27,122,17,2,9.10,4.80
27,123,6,1,4.60,4.60
27,123,99,3,14.50,5.00
27,328,98,1,5.00,5.00
27,334,97,1,4.60,4.60
27,335,22,1,5.40,5.40
27,335,44,1,4.60,4.60
27,335,49,1,4.40,4.40
27,335,56,1,5.60,5.60
27,335,57,1,4.70,4.70
27,335,71,1,5.80,5.80
27,335,117,1,4.80,4.80
27,336,71,1,4.60,4.60
27,336,96,2,10.80,5.90
27,337,11,1,4.30,4.30
27,338,22,1,4.40,4.40
27,340,44,1,4.90,4.90
27,340,47,1,4.80,4.80
27,341,40,1,5.00,5.00
27,341,47,1,5.90,5.90
27,343,40,1,4.60,4.60
27,343,98,1,4.50,4.50
27,344,17,1,4.60,4.60
27,345,20,1,4.20,4.20
27,345,21,1,4.40,4.40
27,345,69,1,4.40,4.40
27,345,78,1,4.50,4.50
27,345,89,2,11.10,5.60
27,345,104,1,5.10,5.10
27,346,37,1,4.90,4.90
27,347,46,1,4.30,4.30
28,26,46,1,4.50,4.50
28,122,57,1,4.60,4.60
28,123,1,1,4.70,4.70
28,123,89,1,4.40,4.40
28,124,1,1,4.90,4.90
28,124,3,1,4.30,4.30
28,124,6,1,4.30,4.30
28,124,42,1,4.50,4.50
